 Datum ; Tijd ; Team thuis ; Team uit ; Zaal ; Fluiten ; Tellen 
 45.395,00 ; 0,60 ; AETOS HS 8 ; Excelsior HS 1 ; Sporthal Middachtensingel ; D7 ; JB2 
 45.395,00 ; 0,60 ; AETOS MC 3 ; Pegasus MC 1 ; Sporthal Middachtensingel ; D9 ; JC4 
 45.395,00 ; 0,69 ; AETOS DS 9 ; HSC DS 3 ; Sporthal Middachtensingel ; D11 ; MB4 
 45.395,00 ; 0,69 ; AETOS HS 6 ; Nuovo HS 2 ; Sporthal Middachtensingel ; H8 ; MB4 
 45.395,00 ; 0,69 ; AETOS JC 4 ; Toesj JC 1 ; Sporthal Middachtensingel ; H8 ; MB3 
 45.395,00 ; 0,77 ; AETOS DS 11 ; O.M.S. DS 4 ; Sporthal Middachtensingel ; D9 ; D9 
 45.395,00 ; 0,77 ; AETOS MB 3 ; Tweestroom MB 1 ; Sporthal Middachtensingel ; D9 ; D9 
 45.395,00 ; 0,77 ; AETOS MB 4 ; D.O.S. MB 1 ; Sporthal Middachtensingel ; H6 ; JC4 
;;;;;;
 45.395,00 ;; CMV ; De Laar ;;;
;;; Tessa (organisatie) ;; D2 ; D2 
;;;; Inclusief opbouwen ; D5 ; x 
;;;; Inclusief opbouwen ; D5 ; x 
;;;; Inclusief opbouwen ; D5 ; x 
;;;;; H8 ; JA1 
;;;;; H8 ; x 
;;;; inclusief opruimen ; H5 ; MC4 
;;;; inclusief opruimen ; H5 ; MC4 
;;;; inclusief opruimen ; H5 ; MC4 
;;;; inclusief opruimen ; H9 ; x 
;;;;inclusief opruimen;H9;x
;;;;;;
